Cliente: ('127.0.0.1', 47886), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.192882299423218
Cliente: ('127.0.0.1', 48090), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.24474549293518
Cliente: ('127.0.0.1', 47842), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.200164556503296
Cliente: ('127.0.0.1', 48014), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.203773021697998
Cliente: ('127.0.0.1', 47848), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.164145469665527
Cliente: ('127.0.0.1', 47922), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.170049905776978
Cliente: ('127.0.0.1', 48018), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.193403005599976
Cliente: ('127.0.0.1', 47932), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.145602464675903
Cliente: ('127.0.0.1', 48034), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.175332069396973
Cliente: ('127.0.0.1', 48066), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.174081087112427
Cliente: ('127.0.0.1', 47956), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.154800176620483
Cliente: ('127.0.0.1', 47944), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.14732813835144
Cliente: ('127.0.0.1', 48054), NombreArchivo: File100.zip, TamanioArchivo: 101964686, Hash: 2d6a9eb2773deec38bdb67a031f6fb70, Entrega exitosa: Me llego el archivo y el hash, Tiempo: 19.256693124771118
